date,GK,x
2021-04-18,0.1,1
2021-05-12,3.14,25
2021-05-19,2.57,32
2021-06-11,5.4,55
2021-06-23,3.3,67
2021-06-28,9.9,72
2021-07-02,23.3,76
2021-07-07,30.8,81
2021-07-21,51,95
2021-07-28,61.5,102
2021-08-04,73.1,109
2021-08-11,85.3,116
2021-08-18,89.6,123
2021-08-25,94.3,130
2021-09-01,97,137
2021-09-08,98.5,144
2021-09-15,98.2,151
2021-09-22,99.5,158
2021-09-29,99.5,165
2021-10-06,99.8,172
2021-10-13,100,179
2021-10-20,99.8,186
2021-10-27,99.9,193
2021-11-03,100,200
2021-11-10,99.9,207
2021-11-17,100,214
2021-11-24,99.8,221
2021-12-02,99.8,229
2021-12-08,98.9,235
2021-12-15,98.3,242
2021-12-22,98.2,249
2021-12-29,96,256
2022-01-05,87.5,263
2022-01-12,73.3,270
2022-01-19,49.7,277
2022-01-26,20,284
2022-02-03,7.9,292
2022-02-10,3.1,299
2022-02-17,1.1,306
2022-02-24,0.4,313
2022-03-03,0.04,320
2022-03-10,0.02,327
2022-03-17,0.01,334
,,
,,
