date,GRY,x
2020-12-22,1.00 ,1
2021-02-12,5.00 ,53
2021-02-22,10.60 ,63
2021-02-25,17.60 ,66
2021-04-27,13.30 ,127
2021-05-05,24.00 ,135
2021-05-12,21.60 ,142
2021-05-19,31.30 ,149
2021-06-11,30.30 ,172
2021-06-23,27.30 ,184
2021-06-28,29.10 ,189
2021-07-02,13.50 ,194
2021-07-07,13.30 ,199
2021-07-21,6.90 ,212
2021-07-28,6.10 ,219
2021-08-04,2.50 ,227
2021-08-11,1.60 ,234
2021-08-18,0.80 ,241
2021-08-25,0.50 ,248
2021-09-01,0.20 ,256
2021-09-08,0.30 ,263
2021-09-15,0.03 ,268
2021-09-22,0.03 ,275
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
